"","date","state","bor","hosp_covid","hosp_pui","hosp_noncovid","hosp_beds","ior","icu_pui","icu_covid","icu_noncovid","icu_beds","vor","vent_covid","vent_pui","vent_noncovid","vent_beds","por","pkrc_covid","pkrc_pui","pkrc_noncovid","pkrc_beds","vent","vent_port","ma_7day_bor","ma_7day_ior","ma_7day_vor","change_bor","change_ior","change_vor"
"1",2020-03-24,"Malaysia",8.88626201367117,1019,353,357,19457,44.9908925318761,6,69,172,549,6.41627543035994,36,5,0,639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-03-25,"Malaysia",10.4279314073845,1229,547,249,19419,43.2384341637011,3,60,180,562,7.79816513761468,50,1,0,654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2020-03-26,"Malaysia",46.8028735925001,1347,432,7407,19627,47.153024911032,14,71,180,562,8.86850152905199,49,9,0,654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2020-03-27,"Malaysia",48.8765476129821,1422,480,7691,19627,47.6868327402135,14,75,179,562,9.63302752293578,52,11,0,654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2020-03-28,"Malaysia",49.1665877450516,1491,568,8324,21118,51.0869565217391,15,94,220,644,10,65,11,0,760,14.1339001062699,194,64,8,1882,NA,NA,NA,NA,NA,NA,NA,NA
"6",2020-03-29,"Malaysia",48.8872052277678,1540,568,8216,21118,49.3788819875776,12,97,209,644,8.94736842105263,60,8,0,760,16.6312433581296,252,59,2,1882,NA,NA,NA,NA,NA,NA,NA,NA
"7",2020-03-30,"Malaysia",49.1476465574392,1608,514,8257,21118,48.7577639751553,12,90,212,644,8.15789473684211,54,8,0,760,20.510095642933,278,98,10,1882,NA,NA,37.4564363081138,47.4703981187564,8.54589039683673,NA,NA,NA
"8",2020-03-31,"Malaysia",51.8506216190567,1589,508,8830,21074,50.6153846153846,11,93,225,650,8.28947368421053,56,7,0,760,24.5812584880036,471,58,14,2209,NA,NA,43.594201966026,48.273896987829,8.81349014738682,14.3941853109429,3.14498649662822,-0.256416712626205
"9",2020-04-01,"Malaysia",47.8936464088398,1705,501,8890,23168,51.8461538461538,8,96,233,650,8.28947368421053,57,6,0,760,27.0004470272687,512,70,22,2237,NA,NA,48.9464469662339,49.5035712281794,8.88367708261479,4.29944444281379,3.5722568583248,-0.52401646317629
"10",2020-04-02,"Malaysia",41.166099471073,1672,467,7901,24389,50.1538461538461,7,93,226,650,7.76315789473684,55,4,0,760,27.4526678141136,525,30,83,2324,NA,NA,48.1411935203157,49.9322599771529,8.7257708491412,-7.78034749516087,0.650274925666707,-1.12051918787795
"11",2020-04-03,"Malaysia",43.9904734529627,1721,483,8509,24353,49.5384615384615,14,87,221,650,7.63157894736842,49,9,0,760,24.8709122203098,474,32,72,2324,NA,NA,47.4431829260272,50.1967783769026,8.43984962406015,-4.15072006735305,-0.393798438691348,-1.09419190177278
"12",2020-04-04,"Malaysia",43.7779693722544,1730,476,8457,24357,50.9230769230769,7,87,237,650,7.23684210526316,50,5,0,760,27.6748104465038,555,27,75,2374,NA,NA,46.6733803013419,50.1733670056651,8.04511278195489,-3.66521355377286,0.726298546174327,-1.20300751879699
"13",2020-04-05,"Malaysia",43.3715153754567,1686,479,8399,24357,52.3076923076923,12,84,244,650,5.99334073251942,44,10,0,901,26.8862025844102,531,47,67,2399,NA,NA,45.8854246081546,50.5917684799672,7.62310882645014,-3.30186492588518,2.13432530202718,-2.05177204943546
"14",2020-04-06,"Malaysia",43.4372049102927,1682,443,8455,24357,52.0710059171598,9,84,259,676,5.80503833515882,47,6,0,913,26.8036311514572,464,36,61,2093,NA,NA,45.0696472299908,51.0650887573964,7.28698648335253,-2.44821969786189,1.47923743719253,-1.81807049129133
"15",2020-04-07,"Malaysia",44.0982058545798,1581,447,8713,24357,49.5562130177515,7,79,249,676,5.48977395048439,46,5,0,929,25.8337247534054,500,50,0,2129,NA,NA,43.962159263637,50.9137785291631,6.88702937853451,-0.971441375411061,-1.50887573964497,-1.79721253286814
"16",2020-04-08,"Malaysia",42.6319872606264,1494,443,8504,24491,48.5207100591716,8,77,243,676,4.84391819160388,39,6,0,929,25.5580357142857,568,44,75,2688,NA,NA,43.2104936710351,50.4387151310228,6.39480716530499,-1.33017200301067,-2.39306846999155,-2.04311118693064
"17",2020-04-09,"Malaysia",44.3546081914329,1458,468,8936,24489,50,7,79,253,678,4.26164519326065,38,5,0,1009,28.0058118416273,618,80,73,2753,NA,NA,43.6659949168008,50.4167371090448,5.89459106509411,1.14411452039779,-0.438715131022825,-2.13316197204434
"18",2020-04-10,"Malaysia",42.5783004614317,1302,435,8690,24489,49.2625368731563,7,80,247,678,3.74384236453202,35,3,0,1015,27.9927667269439,621,84,69,2765,NA,NA,43.4642559180106,50.3773192997155,5.33920012468891,-1.08769445536913,-1.15420023588846,-2.15074870056209
"19",2020-04-11,"Malaysia",43.0438155906734,1372,438,8731,24489,49.1150442477876,5,66,262,678,3.34975369458128,30,4,0,1015,30.6571936056838,719,80,64,2815,NA,NA,43.3593768063562,50.1190289175313,4.78390178030578,-0.420440327337282,-1.26227505192788,-1.98944643010763
"20",2020-04-12,"Malaysia",43.5419984482829,1362,428,8873,24489,46.9026548672566,4,62,252,678,3.34975369458128,33,1,0,1015,32.3713490959666,788,75,68,2876,NA,NA,43.3837315310457,49.3468807117548,4.40624648917176,0.182621641926687,-3.21637405027466,-1.4341480857245
"21",2020-04-13,"Malaysia",43.0642329209033,1311,433,8802,24489,46.3126843657817,3,61,250,678,2.63414634146341,26,1,0,1025,31.5368567454798,750,93,64,2876,NA,NA,43.3304498182757,48.5242633472722,3.95326191864384,-0.319498610142411,-3.03419634597306,-1.77210014770834
"22",2020-04-14,"Malaysia",43.9176773245131,1260,460,9035,24489,46.4601769911504,3,54,258,678,2.34146341463415,23,1,0,1025,32.1218414676359,749,114,65,2889,NA,NA,43.3046600282662,48.0819724863292,3.50350327066524,0.587227506237312,-2.06408635612176,-1.6117985040097
"23",2020-04-15,"Malaysia",44.8446241169505,1243,407,9332,24489,44.9852507374631,3,52,250,678,2.34146341463415,22,2,0,1025,30.6518723994452,748,73,63,2884,NA,NA,43.6207510077411,47.5769068689423,3.14600973109813,1.53996408868426,-3.09672174886606,-1.16203985603109
"24",2020-04-16,"Malaysia",45.0487974192495,1226,433,9373,24489,47.787610619469,4,48,272,678,2.82926829268293,25,4,0,1025,30.8143547273982,725,76,92,2898,NA,NA,43.7199208974292,47.2608512431521,2.94138445958703,1.42804641150838,0.210703750526761,-0.316741438415207
