"","state","mean_ir","mean_mr","mean_rt","mean_lower","mean_upper","perc_change_ir","perc_change_mr","perc_change_rt","mean_rt_full","mean_tpr","mean_tr","perc_change_tpr","perc_change_tr","trend_tpr","mean_bor","mean_ior","mean_vor","perc_change_bor","perc_change_ior","perc_change_vor","trend_bor","trend_ior","trend_vor","max_vax2","max_booster","perc_vax2_change","perc_booster_change","trend_vax2","trend_booster"
"1","Malaysia",41.36,0.1,1.14,1.11,1.17,-10.3,250,3.9,"1.14 (1.1, 1.2)",0.05,1.13,-12.5,2.6,"down",0.66,0.61,0.2,1.5,-0.9,-0.5,"up","down","down",0.83,0.49,-0.2,0,"down","unchanged"
"2","W.P. Putrajaya",276.91,0,1.14,1,1.26,4.5,0,12.7,"1.14 (1, 1.3)",0.14,2.8,13.2,-4.9,"up",0.56,0.54,0.17,-3.7,-13.8,-27.4,"down","down","down",1,0.7,-0.2,0,"down","unchanged"
"3","W.P. Kuala Lumpur",158.71,0.01,1.21,1.17,1.27,-24.2,-75,1.2,"1.21 (1.2, 1.3)",0.09,2.67,-21.8,2.7,"down",0.54,0.72,0.11,43.2,2.6,-1.9,"up","up","down",1,0.7,-0.2,0,"down","unchanged"
"4","Selangor",89.17,0.1,1.1,1.09,1.14,-1,250,11.6,"1.1 (1.1, 1.1)",0.08,1.51,-2.7,-5.4,"down",0.75,0.84,0.17,-1.2,-4.4,-0.7,"down","down","down",1,0.7,-0.2,0,"down","unchanged"
"5","Pulau Pinang",51.63,0.2,1.19,1.09,1.27,-12.8,100,7.8,"1.19 (1.1, 1.3)",0.06,1.41,-14,5.3,"down",0.52,0.47,0.12,-1.5,-4.3,-15.3,"down","down","down",0.9,0.61,0,-0.2,"unchanged","down"
"6","Negeri Sembilan",44.69,0.09,1.04,0.97,1.14,-17.2,20,-9.9,"1.04 (1, 1.1)",0.06,1.44,-5,11,"down",0.63,0.64,0.18,-1,3.8,8,"down","up","up",0.89,0.58,-0.2,0,"down","unchanged"
"7","Melaka",41.73,0.16,1.24,1.13,1.36,-8.9,57.1,16,"1.24 (1.1, 1.4)",0.05,1.33,-14.8,2.2,"down",0.78,0.55,0.21,-1.6,-6,-20.2,"down","down","down",0.82,0.58,-0.2,0,"down","unchanged"
"8","Perak",28.96,0.19,1.07,0.99,1.17,-4.7,62.5,4.2,"1.07 (1, 1.2)",0.05,0.99,-6.1,7.8,"down",0.64,0.58,0.2,1.2,9.5,-1.4,"up","up","down",0.78,0.46,-0.1,0,"down","unchanged"
"9","Kedah",15.04,0.04,1.1,1,1.23,7.9,0,16.7,"1.1 (1, 1.2)",0.03,0.99,-15.6,7.8,"down",0.78,0.8,0.23,-2.9,4.1,8.8,"down","up","up",0.75,0.34,-0.3,-0.3,"down","down"
"10","Sabah",14.11,0,1.29,1.19,1.4,-30.1,0,1.1,"1.29 (1.2, 1.4)",0.03,0.89,-36.2,34.8,"down",0.61,0.54,0.17,3.5,1.7,4.9,"up","up","up",0.64,0.24,-0.2,0,"down","unchanged"
"11","Perlis",13.74,0.34,1.13,0.79,1.53,-4.9,500,1.3,"1.13 (0.8, 1.5)",0.03,0.79,13.4,-12.7,"up",0.67,0.57,0.26,-0.5,-6.2,-27.8,"down","down","down",0.83,0.31,0,0,"unchanged","unchanged"
"12","Sarawak",11.7,0,1.23,1.11,1.39,-2.6,0,21.1,"1.23 (1.1, 1.4)",0.02,0.99,-14.2,7.8,"down",0.66,0.5,0.28,1.5,-0.6,28,"up","down","up",0.84,0.56,-0.5,0,"down","unchanged"
"13","Johor",10.6,0.06,1.14,1.03,1.26,-2.2,-42.9,14.3,"1.14 (1, 1.3)",0.02,1,1.8,0,"up",0.73,0.66,0.18,-3.2,-4.6,-8.4,"down","down","down",0.86,0.56,-0.2,0,"down","unchanged"
"14","W.P. Labuan",10.24,0,1.3,0.66,2.21,-34.2,0,-8.1,"1.3 (0.7, 2.2)",0.01,1.89,15.9,-9.6,"up",0.36,0.31,0.02,-4.2,7.1,-20,"down","up","down",0.85,0.5,-0.2,0,"down","unchanged"
"15","Pahang",9.07,0.1,1.23,1.04,1.43,-15.6,250,8.9,"1.23 (1, 1.4)",0.02,0.66,-4.2,-22,"down",0.65,0.31,0.23,-1,-0.4,-9.1,"down","down","down",0.74,0.37,-0.3,0,"down","unchanged"
"16","Terengganu",7.36,0.01,1.29,1.01,1.54,-1.5,0,21.6,"1.29 (1, 1.5)",0.01,1,-43,11.1,"down",0.78,0.51,0.16,-1.5,-12.9,-16.4,"down","down","down",0.72,0.28,-0.1,0,"down","unchanged"
"17","Kelantan",5.86,0,1.07,0.89,1.27,-11.4,0,-6.2,"1.07 (0.9, 1.3)",0.01,0.99,9,9.5,"up",0.64,0.72,0.43,-5.5,0.1,4.2,"down","up","up",0.64,0.17,-0.2,0,"down","unchanged"
